product_id,brand,category,product_name,price,rating,user_id
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,5.0,Cristina M
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,5.0,Ricky
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,4.0,Tedd Gardiner
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,5.0,Dougal
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,5.0,Miljan David Tanic
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,0.0,Kelvin Law
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,0.0,Ricky
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,0.0,Bandler
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,0.0,Cristina M
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,0.0,Tedd Gardiner
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,0.0,Miguel Martinez
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,0.0,Magnus Brattemark
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,4.0,Janet Matthews Jan
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,5.0,John Kat's the brains
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,5.0,samira
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,4.0,Louis simard
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,5.0,JanetC
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,4.0,Shepherd
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,4.0,Brenda
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,5.0,Fil Gambatesa
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,5.0,Roy Bennett
B00QJDU3KY,Amazon,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,,5.0,satisfied customer
